Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,11208,2022-05-16,0.0662152116,0.0663794244,0.0694474194,21,100
Market-Adjusted Model,11264,2022-05-16,-0.237583905,-0.150150852,-0.234351697,21,100
Market-Adjusted Model,11267,2022-05-16,-0.036900371,-0.029496914,-0.033668164,21,100
Market-Adjusted Model,11275,2022-05-16,-0.173584905,-0.151319637,-0.170352697,21,100
Market-Adjusted Model,11285,2022-05-16,0.0002670065,0.0011071135,0.0034992142,21,100
Market-Adjusted Model,11292,2022-05-16,-0.167351146,-0.174702776,-0.164118938,21,100
Market-Adjusted Model,11293,2022-05-16,0.0564516024,0.0553958473,0.0596838102,21,100
Market-Adjusted Model,11308,2022-05-16,-0.019037293,-0.015764623,-0.015805085,21,100
Market-Adjusted Model,11343,2022-05-16,0.0559337563,0.0547084677,0.0591659641,21,100
Market-Adjusted Model,11368,2022-05-16,-0.069767482,-0.057741301,-0.066535275,21,100
Market-Adjusted Model,11369,2022-05-16,0.1292845247,0.1227780359,0.1325167324,21,100
Market-Adjusted Model,11370,2022-05-16,-0.163485653,-0.165162303,-0.160253445,21,100
Market-Adjusted Model,11379,2022-05-16,-0.054545439,-0.012690222,-0.051313231,21,100
Market-Adjusted Model,11394,2022-05-16,-0.252545794,-0.26425402,-0.249313587,21,100
Market-Adjusted Model,11397,2022-05-16,0.069450409,0.067875158,0.0726826167,21,100
Market-Adjusted Model,11403,2022-05-16,0.0190917433,0.0300579409,0.022323951,21,100
Market-Adjusted Model,11404,2022-05-16,0.0791579452,0.076476501,0.0823901529,21,100
Market-Adjusted Model,11407,2022-05-16,0.1245035378,0.1240065014,0.1277357456,21,100
Market-Adjusted Model,11442,2022-05-16,0.0608684308,0.0605600611,0.0641006385,21,100
Market-Adjusted Model,11481,2022-05-16,-0.021812063,-0.005351908,-0.018579855,21,100
Market-Adjusted Model,11499,2022-05-16,0.3178947839,0.3103988747,0.3211269916,21,100
Market-Adjusted Model,11511,2022-05-16,1.6119016E-8,0.0484947494,0.0032322239,21,100
Market-Adjusted Model,11533,2022-05-16,0.0964899925,0.0973451719,0.0997222002,21,100
Market-Adjusted Model,11547,2022-05-16,-0.125376092,-0.120193891,-0.122143884,21,100
Market-Adjusted Model,11565,2022-05-16,0.0280320248,0.0292828343,0.0312642326,21,100
Market-Adjusted Model,11581,2022-05-16,-0.027888421,-0.02437102,-0.024656213,21,100
Market-Adjusted Model,11587,2022-05-16,0.0034629984,0.0051930353,0.0066952062,21,100
Market-Adjusted Model,11593,2022-05-16,-0.067703124,-0.065889195,-0.064470916,21,100
Market-Adjusted Model,11600,2022-05-16,-0.010752693,-0.005275464,-0.007520485,21,100
Market-Adjusted Model,11618,2022-05-16,-0.031639845,-0.028114618,-0.028407637,21,100
Market-Adjusted Model,11628,2022-05-16,0.009165627,0.0108922683,0.0123978347,21,100
Market-Adjusted Model,11636,2022-05-16,-0.26991151,-0.280452706,-0.266679302,21,100
Market-Adjusted Model,11644,2022-05-16,0.1332941033,0.1553685075,0.1365263111,21,100
Market-Adjusted Model,11654,2022-05-16,0.07252299,0.086184672,0.0757551977,21,100
Market-Adjusted Model,11664,2022-05-16,0.089123893,0.0997984245,0.0923561008,21,100
Market-Adjusted Model,11674,2022-05-16,0.0127443034,0.0126990343,0.0159765112,21,100
Market-Adjusted Model,11691,2022-05-16,0.0485139717,0.0541905526,0.0517461794,21,100
Market-Adjusted Model,11701,2022-05-16,-0.043599713,-0.040958341,-0.040367505,21,100
Market-Adjusted Model,11731,2022-05-16,0.0790079243,0.0785489283,0.0822401321,21,100
Market-Adjusted Model,11748,2022-05-16,0.2039195405,0.1944884724,0.2071517482,21,100
Market-Adjusted Model,11752,2022-05-16,0.0210750027,0.0358814782,0.0243072105,21,100
Market-Adjusted Model,11762,2022-05-16,-0.038808428,-0.036313616,-0.03557622,21,100
Market-Adjusted Model,11775,2022-05-16,-0.147881859,-0.142634578,-0.144649651,21,100
Market-Adjusted Model,11786,2022-05-16,0.0019071234,0.014180603,0.0051393312,21,100
Market-Adjusted Model,11790,2022-05-16,0.0630199144,0.0635534368,0.0662521221,21,100
Market-Adjusted Model,11803,2022-05-16,-0.192479829,-0.205307107,-0.189247622,21,100
Market-Adjusted Model,11809,2022-05-16,-0.109882766,-0.110456842,-0.106650558,21,100
Market-Adjusted Model,11825,2022-05-16,0.05517567,0.0631759613,0.0584078777,21,100
Market-Adjusted Model,11844,2022-05-16,0.0562672133,0.0549274279,0.0594994211,21,100
Market-Adjusted Model,11845,2022-05-16,-0.061550912,-0.055240644,-0.058318704,21,100
Market-Adjusted Model,11850,2022-05-16,0.1375825292,0.1341286741,0.140814737,21,100
Market-Adjusted Model,11884,2022-05-16,-0.097026801,-0.08854216,-0.093794594,21,100
Market-Adjusted Model,11891,2022-05-16,-0.147904469,-0.143250034,-0.144672262,21,100
Market-Adjusted Model,11955,2022-05-16,-0.036061835,-0.035325411,-0.032829627,21,100
Market-Adjusted Model,11990,2022-05-16,0.0785704974,0.0907700454,0.0818027052,21,100
Market-Adjusted Model,11995,2022-05-16,0.2796601853,0.2615968169,0.282892393,21,100
Market-Adjusted Model,11996,2022-05-16,0.0138340084,0.0131545528,0.0170662162,21,100
Market-Adjusted Model,12008,2022-05-16,0.0965728038,0.1079473625,0.0998050116,21,100
Market-Adjusted Model,12009,2022-05-16,-0.407079672,-0.465071852,-0.403847464,21,100
Market-Adjusted Model,12015,2022-05-16,0.0617729462,0.0665191062,0.065005154,21,100
Market-Adjusted Model,12017,2022-05-16,-0.211589299,-0.209477805,-0.208357091,21,100
Market-Adjusted Model,12034,2022-05-16,-0.039412168,-0.0401949,-0.03617996,21,100
Market-Adjusted Model,12035,2022-05-16,0.0799055978,0.0807319275,0.0831378056,21,100
Market-Adjusted Model,12036,2022-05-16,0.0441048256,0.0463340443,0.0473370334,21,100
Market-Adjusted Model,12039,2022-05-16,0.0091190358,0.0095822745,0.0123512436,21,100
Market-Adjusted Model,12049,2022-05-16,-0.043715872,-0.030255083,-0.040483664,21,100
Market-Adjusted Model,12052,2022-05-16,-0.049126936,-0.047505622,-0.045894728,21,100
Market-Adjusted Model,12054,2022-05-16,-0.099793251,-0.103497917,-0.096561044,21,100
Market-Adjusted Model,12059,2022-05-16,0.0071646677,0.0060939906,0.0103968755,21,100
Market-Adjusted Model,12060,2022-05-16,0.0501676385,0.0532722316,0.0533998463,21,100
Market-Adjusted Model,12062,2022-05-16,0.0298513537,0.032267728,0.0330835615,21,100
Market-Adjusted Model,12064,2022-05-16,0.0057946855,0.0045880118,0.0090268932,21,100
Market-Adjusted Model,12065,2022-05-16,-0.00903766,-0.009895401,-0.005805453,21,100
Market-Adjusted Model,12066,2022-05-16,0.0156196628,0.0168171086,0.0188518706,21,100
Market-Adjusted Model,12068,2022-05-16,0.0580474772,0.0577901724,0.0612796849,21,100
